,correct_rate,response_time,set_size,response_type,cue_type,subject,exp_type
0,0,2.0686,L1,no-change,cue,1,exp1
5864,1,0.8035,L1,change,cue,23,exp1
5863,1,0.7893,L1,no-change,cue,23,exp1
5859,1,0.7001,L1,no-change,cue,23,exp1
5858,1,0.7512,L1,change,cue,23,exp1
5851,1,0.856,L1,change,nocue,23,exp1
5850,1,0.7232,L1,change,nocue,23,exp1
5849,1,1.0702,L1,change,nocue,23,exp1
5843,1,0.8003,L1,no-change,cue,23,exp1
5842,1,1.086,L1,change,cue,23,exp1
5841,1,0.7185,L1,no-change,cue,23,exp1
5838,1,0.8011,L1,no-change,nocue,23,exp1
5826,1,0.7731,L1,no-change,nocue,23,exp1
5823,1,0.9186,L1,change,cue,23,exp1
5818,1,0.9399,L1,no-change,nocue,23,exp1
5815,1,0.8704,L1,change,nocue,23,exp1
5869,1,0.9845,L1,change,nocue,23,exp1
5874,1,0.6335,L1,change,cue,23,exp1
5884,1,0.8001,L1,no-change,nocue,23,exp1
5885,1,0.7868,L1,no-change,nocue,23,exp1
5948,1,0.7365,L1,no-change,nocue,24,exp1
5947,1,0.5348,L1,no-change,nocue,24,exp1
5944,1,0.7186,L1,change,nocue,24,exp1
5941,1,0.7102,L1,no-change,cue,24,exp1
5940,1,1.1604,L1,change,nocue,24,exp1
5932,1,0.5849,L1,no-change,cue,24,exp1
5926,1,0.6565,L1,no-change,nocue,24,exp1
5809,1,1.339,L1,change,cue,23,exp1
5924,1,0.723,L1,no-change,cue,24,exp1
5913,1,0.6043,L1,no-change,nocue,24,exp1
5905,1,0.8896,L1,no-change,cue,24,exp1
5902,1,0.5716,L1,change,nocue,24,exp1
5901,0,1.2779,L1,change,nocue,24,exp1
5897,1,2.0626,L1,change,cue,24,exp1
5891,1,0.7943,L1,change,cue,24,exp1
5889,1,1.5563,L1,change,cue,24,exp1
5917,1,3.6813,L1,change,cue,24,exp1
5961,1,0.5076,L1,no-change,nocue,24,exp1
5807,1,0.9012,L1,no-change,nocue,23,exp1
5798,1,0.834,L1,no-change,cue,23,exp1
5710,1,0.8698,L1,no-change,nocue,23,exp1
5706,1,0.914,L1,change,nocue,23,exp1
5703,1,1.0469,L1,change,cue,23,exp1
5699,1,2.0206,L1,no-change,cue,23,exp1
5697,1,1.3336,L1,no-change,nocue,23,exp1
5695,1,1.0553,L1,no-change,cue,23,exp1
5691,1,1.1025,L1,change,cue,23,exp1
5689,1,1.0569,L1,change,nocue,23,exp1
5684,0,1.1632,L1,change,nocue,23,exp1
5678,1,0.7454,L1,no-change,nocue,23,exp1
5671,1,0.6345,L1,change,nocue,23,exp1
5669,1,0.5296,L1,change,cue,23,exp1
5665,1,0.6479,L1,no-change,cue,23,exp1
5664,1,0.622,L1,change,cue,23,exp1
5655,1,0.6319,L1,no-change,nocue,23,exp1
5712,1,0.7825,L1,no-change,cue,23,exp1
5713,1,0.7989,L1,no-change,nocue,23,exp1
5723,1,0.8001,L1,no-change,nocue,23,exp1
5729,1,0.8298,L1,change,nocue,23,exp1
5793,1,1.0687,L1,no-change,cue,23,exp1
5792,1,0.8672,L1,no-change,cue,23,exp1
5788,1,0.9183,L1,no-change,cue,23,exp1
5785,1,0.9347,L1,no-change,nocue,23,exp1
5777,1,1.0535,L1,no-change,nocue,23,exp1
5773,1,0.8177,L1,change,nocue,23,exp1
5772,1,0.8858,L1,change,cue,23,exp1
5802,1,1.0852,L1,change,nocue,23,exp1
5766,1,1.0074,L1,change,cue,23,exp1
5759,1,0.8683,L1,no-change,cue,23,exp1
5758,1,0.906,L1,change,cue,23,exp1
5748,1,0.8013,L1,change,cue,23,exp1
5745,1,0.8299,L1,change,nocue,23,exp1
5738,1,1.1027,L1,change,nocue,23,exp1
5735,1,0.9789,L1,no-change,cue,23,exp1
5733,1,1.2127,L1,change,cue,23,exp1
5763,1,0.9374,L1,change,nocue,23,exp1
5654,1,0.7802,L1,no-change,cue,23,exp1
5962,1,0.6174,L1,change,cue,24,exp1
5968,1,0.584,L1,no-change,cue,24,exp1
6190,1,0.3989,L1,no-change,nocue,25,exp1
6185,1,0.4309,L1,change,cue,25,exp1
6184,1,0.4843,L1,change,cue,25,exp1
6182,1,1.6867,L1,change,nocue,25,exp1
6181,1,0.4581,L1,change,cue,25,exp1
6177,1,0.4265,L1,change,nocue,25,exp1
6172,1,0.3239,L1,no-change,nocue,25,exp1
6167,1,0.4089,L1,no-change,cue,25,exp1
6152,1,0.2945,L1,no-change,cue,25,exp1
6145,1,0.376,L1,no-change,cue,25,exp1
6139,1,0.7153,L1,no-change,nocue,24,exp1
6137,0,0.8775,L1,no-change,nocue,24,exp1
6128,1,0.4172,L1,change,nocue,24,exp1
6124,1,0.743,L1,change,cue,24,exp1
6123,1,0.4519,L1,change,nocue,24,exp1
6191,1,0.3146,L1,no-change,nocue,25,exp1
6192,1,0.2417,L1,no-change,nocue,25,exp1
6196,1,0.3833,L1,no-change,cue,25,exp1
6198,1,0.4159,L1,change,nocue,25,exp1
6260,1,0.28,L1,no-change,cue,25,exp1
6258,1,0.4637,L1,change,nocue,25,exp1
6250,1,0.3018,L1,no-change,nocue,25,exp1
6248,1,0.2717,L1,no-change,nocue,25,exp1
6246,1,0.3531,L1,no-change,nocue,25,exp1
6241,1,0.4515,L1,change,cue,25,exp1
6240,1,0.3051,L1,no-change,cue,25,exp1
6119,0,0.7853,L1,change,cue,24,exp1
6237,1,0.5847,L1,change,cue,25,exp1
6224,1,0.3625,L1,change,nocue,25,exp1
6221,1,0.5043,L1,no-change,nocue,25,exp1
6218,1,0.5383,L1,change,nocue,25,exp1
6217,1,0.4072,L1,change,nocue,25,exp1
6215,1,0.5778,L1,change,cue,25,exp1
6202,1,0.3204,L1,change,cue,25,exp1
6200,1,0.3762,L1,change,nocue,25,exp1
6231,1,0.4615,L1,no-change,cue,25,exp1
5966,1,0.7356,L1,change,nocue,24,exp1
6110,1,0.4939,L1,change,cue,24,exp1
6107,1,0.4387,L1,no-change,cue,24,exp1
6029,1,0.9657,L1,no-change,cue,24,exp1
6022,1,0.6456,L1,change,cue,24,exp1
6021,1,0.6318,L1,change,nocue,24,exp1
6013,1,0.7932,L1,change,cue,24,exp1
6008,1,0.4464,L1,no-change,cue,24,exp1
6007,1,0.4658,L1,no-change,cue,24,exp1
5997,1,0.6464,L1,no-change,nocue,24,exp1
5994,1,0.892,L1,no-change,nocue,24,exp1
5992,1,0.598,L1,no-change,cue,24,exp1
5989,1,1.3542,L1,change,nocue,24,exp1
5988,0,0.7182,L1,change,nocue,24,exp1
5987,1,0.8211,L1,change,cue,24,exp1
5985,1,0.9929,L1,change,nocue,24,exp1
5977,1,1.2086,L1,change,cue,24,exp1
5976,1,0.5222,L1,no-change,nocue,24,exp1
6034,1,0.5017,L1,no-change,nocue,24,exp1
6035,1,0.3474,L1,no-change,cue,24,exp1
6036,1,0.4658,L1,no-change,nocue,24,exp1
6038,1,1.0097,L1,change,cue,24,exp1
6104,1,0.5999,L1,change,cue,24,exp1
6097,1,0.4824,L1,no-change,cue,24,exp1
6091,1,0.6115,L1,change,nocue,24,exp1
6087,1,0.4786,L1,change,nocue,24,exp1
6086,1,0.4615,L1,no-change,nocue,24,exp1
6084,1,0.3769,L1,no-change,cue,24,exp1
6083,1,0.8632,L1,no-change,cue,24,exp1
6109,1,0.6104,L1,no-change,nocue,24,exp1
6079,1,0.4251,L1,no-change,cue,24,exp1
6072,1,1.0142,L1,no-change,nocue,24,exp1
6070,1,0.4531,L1,change,nocue,24,exp1
6069,0,1.1696,L1,change,nocue,24,exp1
6061,1,0.8157,L1,change,cue,24,exp1
6060,1,0.6262,L1,change,nocue,24,exp1
6059,1,0.5636,L1,change,cue,24,exp1
6042,1,0.4179,L1,no-change,nocue,24,exp1
6074,1,0.5776,L1,no-change,cue,24,exp1
5652,1,0.7512,L1,no-change,nocue,23,exp1
5650,1,0.8187,L1,change,nocue,23,exp1
5640,1,0.5055,L1,change,cue,23,exp1
5239,1,0.8568,L1,no-change,nocue,21,exp1
5234,1,0.7711,L1,change,nocue,21,exp1
5231,1,0.7172,L1,no-change,nocue,21,exp1
5227,1,0.4876,L1,change,cue,21,exp1
5215,1,0.8209,L1,no-change,nocue,21,exp1
5213,1,0.6945,L1,no-change,cue,21,exp1
5208,1,0.5564,L1,change,nocue,21,exp1
5207,1,0.8674,L1,change,nocue,21,exp1
5204,1,0.6872,L1,no-change,nocue,21,exp1
5193,1,0.6996,L1,change,cue,21,exp1
5191,1,0.6198,L1,change,nocue,21,exp1
5190,1,0.5499,L1,change,cue,21,exp1
5188,1,0.7231,L1,change,cue,21,exp1
5186,1,0.6705,L1,no-change,cue,21,exp1
5185,1,0.7195,L1,no-change,cue,21,exp1
5240,1,0.8739,L1,no-change,cue,21,exp1
5249,1,0.4878,L1,no-change,nocue,21,exp1
5252,1,0.7155,L1,no-change,nocue,21,exp1
5253,1,0.6098,L1,no-change,cue,21,exp1
5314,1,0.5667,L1,change,nocue,21,exp1
5313,1,0.5995,L1,no-change,cue,21,exp1
5312,1,0.7876,L1,no-change,nocue,21,exp1
5310,1,0.7199,L1,change,nocue,21,exp1
5306,1,0.7629,L1,no-change,nocue,21,exp1
5304,1,0.8945,L1,change,cue,21,exp1
5297,1,0.7269,L1,no-change,cue,21,exp1
5179,1,1.8271,L1,no-change,cue,21,exp1
5288,1,0.438,L1,no-change,nocue,21,exp1
5280,1,0.6359,L1,no-change,cue,21,exp1
5278,1,0.6054,L1,no-change,cue,21,exp1
5274,1,0.4914,L1,change,cue,21,exp1
5273,1,0.766,L1,change,cue,21,exp1
5269,1,0.5828,L1,change,nocue,21,exp1
5268,1,0.6942,L1,change,nocue,21,exp1
5263,1,0.7233,L1,change,cue,21,exp1
5281,1,0.7019,L1,change,nocue,21,exp1
5317,1,0.4014,L1,no-change,nocue,21,exp1
5174,1,0.8071,L1,change,cue,21,exp1
5170,1,0.5605,L1,no-change,nocue,21,exp1
5094,1,0.6673,L1,change,nocue,20,exp1
5092,1,0.5324,L1,no-change,cue,20,exp1
5091,1,0.8516,L1,no-change,nocue,20,exp1
5084,1,0.7211,L1,change,cue,20,exp1
5082,1,0.5839,L1,no-change,cue,20,exp1
5078,1,0.5356,L1,no-change,cue,20,exp1
5071,1,0.8064,L1,no-change,nocue,20,exp1
5057,1,0.868,L1,change,cue,20,exp1
5050,1,0.685,L1,no-change,nocue,20,exp1
5049,1,0.5012,L1,no-change,nocue,20,exp1
5041,1,0.9519,L1,change,nocue,20,exp1
5036,1,0.967,L1,no-change,cue,20,exp1
5035,1,1.5173,L1,change,cue,20,exp1
5033,1,0.8067,L1,change,cue,20,exp1
5022,1,0.9519,L1,no-change,cue,20,exp1
5095,1,0.636,L1,change,nocue,20,exp1
5096,1,0.5505,L1,no-change,nocue,20,exp1
5097,1,0.7361,L1,change,cue,20,exp1
5098,1,0.5632,L1,no-change,nocue,20,exp1
5169,1,0.816,L1,no-change,cue,21,exp1
5168,1,1.1342,L1,no-change,nocue,21,exp1
5164,1,0.9067,L1,no-change,nocue,21,exp1
5161,1,0.7169,L1,change,cue,21,exp1
5157,1,0.7701,L1,change,nocue,21,exp1
5156,1,0.5339,L1,change,cue,21,exp1
5151,1,0.8958,L1,no-change,cue,21,exp1
5172,1,0.8007,L1,change,nocue,21,exp1
5147,1,0.7445,L1,no-change,nocue,21,exp1
5144,1,0.749,L1,change,nocue,21,exp1
5135,1,0.9911,L1,change,nocue,21,exp1
5121,1,3.8143,L1,no-change,cue,21,exp1
5115,1,0.6893,L1,no-change,cue,20,exp1
5109,1,1.0997,L1,change,nocue,20,exp1
5108,1,0.7136,L1,change,cue,20,exp1
5105,1,0.7847,L1,change,nocue,20,exp1
5145,1,0.5535,L1,change,cue,21,exp1
5324,1,0.59,L1,change,cue,21,exp1
5326,1,0.8093,L1,no-change,nocue,21,exp1
5331,1,0.6661,L1,change,nocue,21,exp1
5556,1,0.7527,L1,change,nocue,22,exp1
5553,1,0.7064,L1,no-change,cue,22,exp1
5552,1,0.4379,L1,no-change,nocue,22,exp1
5549,1,0.9721,L1,change,nocue,22,exp1
5541,1,0.8506,L1,change,cue,22,exp1
5538,1,0.4349,L1,no-change,cue,22,exp1
5537,1,0.3366,L1,no-change,nocue,22,exp1
5534,1,0.5548,L1,no-change,cue,22,exp1
5526,0,0.634,L1,change,nocue,22,exp1
5516,1,0.3523,L1,no-change,nocue,22,exp1
5514,1,0.568,L1,no-change,nocue,22,exp1
5506,1,0.6185,L1,change,cue,22,exp1
5505,1,0.5655,L1,change,nocue,22,exp1
5504,1,0.6696,L1,change,cue,22,exp1
5503,1,0.6171,L1,no-change,nocue,22,exp1
5563,1,0.5355,L1,change,cue,22,exp1
5565,1,0.4607,L1,no-change,cue,22,exp1
5569,1,0.4994,L1,no-change,cue,22,exp1
5573,0,0.5209,L1,change,cue,22,exp1
5639,1,0.6142,L1,no-change,cue,23,exp1
5636,1,0.549,L1,no-change,nocue,23,exp1
5622,1,0.5669,L1,change,nocue,22,exp1
5621,1,0.4652,L1,change,nocue,22,exp1
5607,1,0.4349,L1,no-change,cue,22,exp1
5606,1,0.5664,L1,no-change,cue,22,exp1
5601,1,1.717,L1,change,nocue,22,exp1
5500,1,0.4166,L1,no-change,cue,22,exp1
5599,1,1.4904,L1,change,nocue,22,exp1
5593,1,0.5324,L1,change,cue,22,exp1
5588,1,0.5499,L1,no-change,cue,22,exp1
5581,1,1.1667,L1,change,cue,22,exp1
5580,1,0.5832,L1,no-change,nocue,22,exp1
5579,1,0.5832,L1,change,cue,22,exp1
5577,1,0.4172,L1,no-change,nocue,22,exp1
5574,1,0.4841,L1,no-change,nocue,22,exp1
5595,1,0.5995,L1,no-change,nocue,22,exp1
5497,0,1.0358,L1,change,nocue,22,exp1
5492,1,0.4824,L1,change,nocue,22,exp1
5490,1,0.6831,L1,change,nocue,22,exp1
5391,1,0.5347,L1,change,nocue,22,exp1
5387,1,0.6363,L1,change,cue,22,exp1
5383,1,0.5829,L1,change,nocue,22,exp1
5382,1,1.467,L1,no-change,cue,22,exp1
5380,0,0.9215,L1,no-change,cue,22,exp1
5378,1,0.9336,L1,change,nocue,22,exp1
5377,1,0.6009,L1,no-change,nocue,22,exp1
5394,1,0.834,L1,no-change,nocue,22,exp1
5374,1,1.2614,L1,change,nocue,21,exp1
5371,1,0.549,L1,change,cue,21,exp1
5358,1,0.883,L1,change,cue,21,exp1
5348,1,0.6209,L1,change,nocue,21,exp1
5347,1,0.526,L1,no-change,cue,21,exp1
5345,1,0.6837,L1,no-change,cue,21,exp1
5340,1,0.4954,L1,no-change,cue,21,exp1
5337,1,0.5375,L1,no-change,nocue,21,exp1
5372,1,0.6406,L1,change,cue,21,exp1
6268,1,0.3886,L1,no-change,cue,25,exp1
5397,1,0.5673,L1,change,cue,22,exp1
5419,1,0.8038,L1,no-change,cue,22,exp1
5488,1,0.5518,L1,no-change,nocue,22,exp1
5485,1,0.4473,L1,no-change,nocue,22,exp1
5468,1,0.4668,L1,no-change,cue,22,exp1
5467,1,0.5189,L1,change,cue,22,exp1
5464,1,0.5677,L1,change,nocue,22,exp1
5462,1,0.601,L1,no-change,cue,22,exp1
5460,1,0.5562,L1,change,cue,22,exp1
5407,1,0.8007,L1,no-change,nocue,22,exp1
5458,1,0.9378,L1,change,cue,22,exp1
5441,1,0.6715,L1,no-change,cue,22,exp1
5440,1,0.4669,L1,no-change,nocue,22,exp1
5434,1,0.563,L1,no-change,cue,22,exp1
5433,1,0.6998,L1,change,cue,22,exp1
5425,1,0.8343,L1,no-change,nocue,22,exp1
5424,1,0.5059,L1,change,nocue,22,exp1
5422,1,0.4493,L1,change,cue,22,exp1
5449,1,0.5226,L1,change,cue,22,exp1
6270,1,0.3639,L1,change,cue,25,exp1
12542,1,0.3424,L1,no-change,nocue,49,exp1
6276,1,0.4746,L1,change,nocue,25,exp1
7126,1,0.9157,L1,change,nocue,28,exp1
7123,1,2.5204,L1,change,nocue,28,exp1
7118,1,2.149,L1,no-change,cue,28,exp1
7108,1,0.3676,L1,change,nocue,28,exp1
7103,1,0.8076,L1,no-change,cue,28,exp1
7097,1,0.5854,L1,no-change,nocue,28,exp1
7093,1,0.6915,L1,change,cue,28,exp1
7092,1,0.849,L1,no-change,cue,28,exp1
7085,1,0.6175,L1,change,cue,28,exp1
7084,1,0.918,L1,change,nocue,28,exp1
7070,1,0.5326,L1,no-change,nocue,28,exp1
7068,1,0.6671,L1,no-change,cue,28,exp1
7067,1,0.9662,L1,no-change,nocue,28,exp1
7063,1,1.7334,L1,change,cue,28,exp1
7062,1,0.5658,L1,no-change,nocue,28,exp1
7130,1,0.8183,L1,change,cue,28,exp1
7131,1,0.5045,L1,change,nocue,28,exp1
7137,1,0.6823,L1,no-change,cue,28,exp1
7139,1,0.4993,L1,change,cue,28,exp1
7191,1,0.6044,L1,change,nocue,29,exp1
7189,1,0.6518,L1,no-change,nocue,29,exp1
7187,1,0.6317,L1,change,cue,29,exp1
7185,1,0.4298,L1,no-change,cue,29,exp1
7176,1,0.534,L1,change,cue,29,exp1
7173,1,0.7824,L1,change,cue,29,exp1
7170,1,0.9163,L1,change,nocue,29,exp1
7060,1,0.6534,L1,no-change,cue,28,exp1
7169,1,3.0957,L1,no-change,cue,29,exp1
7163,1,0.7678,L1,no-change,cue,28,exp1
7158,1,0.6998,L1,no-change,nocue,28,exp1
7157,1,0.6998,L1,no-change,nocue,28,exp1
7154,1,0.6312,L1,no-change,nocue,28,exp1
7145,1,1.3033,L1,change,cue,28,exp1
7144,0,0.6498,L1,no-change,nocue,28,exp1
7142,1,2.2982,L1,no-change,cue,28,exp1
7166,0,4.5374,L1,change,cue,28,exp1
7200,1,0.4328,L1,change,nocue,29,exp1
7056,1,0.6671,L1,change,nocue,28,exp1
7050,1,0.6501,L1,change,nocue,28,exp1
6953,1,0.9169,L1,change,cue,28,exp1
6949,1,0.3657,L1,change,nocue,28,exp1
6947,1,0.8711,L1,no-change,nocue,28,exp1
6943,1,0.5495,L1,no-change,cue,28,exp1
6941,1,0.5045,L1,change,nocue,28,exp1
6939,1,0.4829,L1,no-change,nocue,28,exp1
6938,1,0.6024,L1,no-change,nocue,28,exp1
6934,1,1.3333,L1,no-change,nocue,28,exp1
6928,1,0.5863,L1,change,cue,28,exp1
6924,1,0.5035,L1,no-change,cue,28,exp1
6922,1,0.7825,L1,change,cue,28,exp1
6920,1,0.4323,L1,change,nocue,28,exp1
6918,1,0.7833,L1,change,nocue,28,exp1
6911,1,0.503,L1,no-change,nocue,27,exp1
6910,1,0.592,L1,no-change,cue,27,exp1
6962,1,0.451,L1,no-change,cue,28,exp1
6972,1,0.72,L1,no-change,cue,28,exp1
6974,1,0.9655,L1,change,cue,28,exp1
6976,1,0.7055,L1,no-change,nocue,28,exp1
7048,1,0.7994,L1,change,nocue,28,exp1
7026,1,0.499,L1,no-change,cue,28,exp1
7014,1,0.4693,L1,change,nocue,28,exp1
7012,1,0.7328,L1,change,cue,28,exp1
7009,1,0.5332,L1,change,nocue,28,exp1
7007,1,1.0501,L1,no-change,nocue,28,exp1
7006,1,0.9159,L1,no-change,cue,28,exp1
7054,1,0.8336,L1,change,cue,28,exp1
7004,1,0.9522,L1,change,cue,28,exp1
7002,1,0.6014,L1,change,nocue,28,exp1
6994,1,0.6997,L1,change,cue,28,exp1
6993,1,0.6175,L1,no-change,cue,28,exp1
6986,1,0.5335,L1,no-change,nocue,28,exp1
6985,1,1.1006,L1,no-change,nocue,28,exp1
6982,1,0.9657,L1,change,nocue,28,exp1
6978,1,0.5824,L1,no-change,cue,28,exp1
7003,1,1.0655,L1,change,cue,28,exp1
7203,1,0.5293,L1,change,cue,29,exp1
7204,1,0.4964,L1,change,nocue,29,exp1
7205,1,0.6139,L1,no-change,nocue,29,exp1
7432,1,0.7867,L1,change,nocue,30,exp1
7427,1,0.7356,L1,change,cue,30,exp1
7426,1,0.5365,L1,change,cue,30,exp1
7423,0,0.4843,L1,no-change,cue,29,exp1
7413,1,0.4182,L1,change,cue,29,exp1
7412,1,0.6677,L1,no-change,cue,29,exp1
7409,1,0.3586,L1,change,nocue,29,exp1
7402,1,0.5516,L1,change,nocue,29,exp1
7401,1,0.738,L1,change,nocue,29,exp1
7396,1,0.3523,L1,no-change,cue,29,exp1
7394,1,0.3072,L1,no-change,nocue,29,exp1
7390,1,0.4509,L1,change,cue,29,exp1
7386,1,0.5054,L1,change,nocue,29,exp1
7383,1,0.7602,L1,no-change,nocue,29,exp1
7380,1,0.703,L1,no-change,nocue,29,exp1
7435,1,0.3851,L1,no-change,nocue,30,exp1
7442,1,1.2005,L1,change,nocue,30,exp1
7450,1,0.8337,L1,change,cue,30,exp1
7456,1,0.3836,L1,change,cue,30,exp1
7524,1,0.7502,L1,no-change,cue,30,exp1
7518,1,0.3705,L1,change,cue,30,exp1
7507,1,0.9328,L1,change,cue,30,exp1
7500,1,0.4818,L1,no-change,cue,30,exp1
7496,1,0.7375,L1,no-change,nocue,30,exp1
7493,1,0.3984,L1,change,nocue,30,exp1
7489,1,0.6982,L1,change,nocue,30,exp1
7379,1,0.7585,L1,no-change,nocue,29,exp1
7474,1,0.5678,L1,no-change,nocue,30,exp1
7469,1,0.6057,L1,no-change,cue,30,exp1
7466,1,0.571,L1,no-change,cue,30,exp1
7465,1,0.517,L1,no-change,cue,30,exp1
7463,1,0.9552,L1,change,nocue,30,exp1
7462,1,0.4407,L1,change,nocue,30,exp1
7460,1,0.5669,L1,no-change,cue,30,exp1
7458,1,0.6673,L1,no-change,nocue,30,exp1
7470,1,0.4362,L1,no-change,nocue,30,exp1
7377,1,0.5007,L1,change,cue,29,exp1
7362,1,0.568,L1,no-change,cue,29,exp1
7361,1,0.9398,L1,change,cue,29,exp1
7272,1,0.7041,L1,no-change,nocue,29,exp1
7269,1,0.9008,L1,no-change,nocue,29,exp1
7265,1,0.8351,L1,no-change,nocue,29,exp1
7252,1,0.5227,L1,no-change,cue,29,exp1
7249,1,0.501,L1,change,cue,29,exp1
7246,1,0.5675,L1,no-change,nocue,29,exp1
7244,1,0.4062,L1,change,nocue,29,exp1
7282,1,0.4757,L1,change,nocue,29,exp1
7241,1,0.5245,L1,change,nocue,29,exp1
7237,1,0.4165,L1,no-change,cue,29,exp1
7234,1,0.468,L1,no-change,cue,29,exp1
7233,1,0.451,L1,change,cue,29,exp1
7228,1,0.3965,L1,no-change,nocue,29,exp1
7224,1,0.7471,L1,no-change,nocue,29,exp1
7210,1,0.3314,L1,no-change,cue,29,exp1
7207,1,0.5049,L1,no-change,cue,29,exp1
7238,1,0.8338,L1,no-change,cue,29,exp1
6907,1,1.198,L1,no-change,cue,27,exp1
7284,1,0.5345,L1,change,nocue,29,exp1
7292,1,0.5236,L1,change,cue,29,exp1
7356,1,0.5699,L1,no-change,cue,29,exp1
7354,1,0.5844,L1,no-change,nocue,29,exp1
7345,1,0.4183,L1,change,cue,29,exp1
7339,1,0.6846,L1,no-change,cue,29,exp1
7334,1,0.751,L1,no-change,cue,29,exp1
7332,1,0.551,L1,change,cue,29,exp1
7330,1,0.5241,L1,change,cue,29,exp1
7291,1,0.3873,L1,change,cue,29,exp1
7320,1,0.5248,L1,change,nocue,29,exp1
7312,1,0.9883,L1,no-change,cue,29,exp1
7309,1,0.6178,L1,change,nocue,29,exp1
7305,1,0.8728,L1,change,cue,29,exp1
7303,1,0.6418,L1,no-change,nocue,29,exp1
7300,1,0.7185,L1,no-change,nocue,29,exp1
7298,1,0.6718,L1,no-change,nocue,29,exp1
7296,1,1.5014,L1,change,nocue,29,exp1
7313,1,0.5681,L1,change,nocue,29,exp1
5017,0,0.7675,L1,change,cue,20,exp1
6904,1,0.866,L1,change,nocue,27,exp1
6896,1,1.918,L1,change,cue,27,exp1
6485,1,0.5684,L1,change,nocue,26,exp1
6484,1,0.4159,L1,no-change,cue,26,exp1
6479,1,0.3744,L1,no-change,nocue,26,exp1
6477,1,0.4004,L1,change,cue,26,exp1
6474,1,0.4992,L1,no-change,nocue,26,exp1
6472,1,1.2416,L1,change,cue,26,exp1
6465,1,0.4894,L1,no-change,cue,26,exp1
6463,1,0.8715,L1,no-change,cue,26,exp1
6461,1,0.9553,L1,change,nocue,26,exp1
6456,1,0.5326,L1,change,cue,26,exp1
6454,1,0.9049,L1,no-change,nocue,26,exp1
6450,1,0.4172,L1,change,cue,26,exp1
6444,1,0.3394,L1,no-change,cue,26,exp1
6443,1,0.407,L1,no-change,nocue,26,exp1
6434,1,0.5245,L1,change,cue,26,exp1
6488,1,0.4493,L1,change,nocue,26,exp1
6495,1,0.6206,L1,change,nocue,26,exp1
6500,1,0.6326,L1,change,nocue,26,exp1
6506,1,0.4993,L1,no-change,cue,26,exp1
6556,1,0.4839,L1,no-change,nocue,26,exp1
6554,1,0.3654,L1,no-change,cue,26,exp1
6551,1,0.601,L1,no-change,nocue,26,exp1
6548,1,0.4211,L1,no-change,cue,26,exp1
6547,1,0.5342,L1,no-change,cue,26,exp1
6543,1,0.4715,L1,change,nocue,26,exp1
6538,1,0.416,L1,no-change,nocue,26,exp1
6432,1,0.6519,L1,change,nocue,26,exp1
6534,1,0.4337,L1,change,cue,26,exp1
6530,1,0.351,L1,change,nocue,26,exp1
6529,1,0.3337,L1,no-change,nocue,26,exp1
6521,1,0.4697,L1,no-change,nocue,26,exp1
6516,1,0.676,L1,change,cue,26,exp1
6513,1,0.4841,L1,no-change,nocue,26,exp1
6508,1,0.4708,L1,no-change,cue,26,exp1
6507,1,0.3826,L1,change,cue,26,exp1
6533,1,0.4172,L1,change,nocue,26,exp1
6557,1,0.4658,L1,change,nocue,26,exp1
6428,1,0.4207,L1,no-change,nocue,26,exp1
6426,1,0.5494,L1,no-change,cue,26,exp1
6334,1,0.4805,L1,change,cue,25,exp1
6326,1,0.2909,L1,no-change,cue,25,exp1
6324,0,0.4832,L1,change,nocue,25,exp1
6319,1,0.4158,L1,change,cue,25,exp1
6315,1,0.3298,L1,no-change,cue,25,exp1
6309,1,0.3172,L1,no-change,cue,25,exp1
6296,1,0.3135,L1,no-change,nocue,25,exp1
6295,1,0.4468,L1,change,nocue,25,exp1
6293,1,0.2615,L1,no-change,cue,25,exp1
6290,1,0.4268,L1,change,cue,25,exp1
6289,1,0.5136,L1,change,cue,25,exp1
6288,1,0.5405,L1,no-change,nocue,25,exp1
6286,1,1.2838,L1,change,nocue,25,exp1
6281,1,0.2807,L1,no-change,nocue,25,exp1
6280,1,0.2637,L1,no-change,nocue,25,exp1
6338,1,0.5015,L1,change,cue,25,exp1
6339,1,0.4052,L1,change,nocue,25,exp1
6345,1,0.426,L1,change,nocue,25,exp1
6348,1,0.3793,L1,change,nocue,25,exp1
6423,1,0.6675,L1,change,nocue,26,exp1
6418,1,0.784,L1,change,nocue,26,exp1
6417,1,0.4336,L1,no-change,nocue,26,exp1
6403,1,0.4407,L1,no-change,cue,26,exp1
6397,0,1.4498,L1,no-change,nocue,25,exp1
6396,1,1.2218,L1,no-change,cue,25,exp1
6392,1,0.3205,L1,change,cue,25,exp1
6427,1,0.3751,L1,change,cue,26,exp1
6387,1,0.2783,L1,no-change,nocue,25,exp1
6374,0,1.9086,L1,change,cue,25,exp1
6372,1,0.4985,L1,change,cue,25,exp1
6370,1,0.4642,L1,no-change,cue,25,exp1
6360,1,0.332,L1,no-change,cue,25,exp1
6359,1,0.3223,L1,no-change,nocue,25,exp1
6355,1,0.3395,L1,no-change,nocue,25,exp1
6353,1,0.3688,L1,change,nocue,25,exp1
6379,1,0.3156,L1,no-change,cue,25,exp1
6564,1,0.4659,L1,change,cue,26,exp1
6565,1,0.5659,L1,change,cue,26,exp1
6567,1,0.7176,L1,change,cue,26,exp1
6805,1,0.543,L1,change,cue,27,exp1
